conference_year,display_session_id,title,date_label,start_time,end_time,location,tracks,speakers,speaker_affiliations,detail_href
2026,,Preconference Workshop Registration,"Wednesday, April 29",6:30 am,9:00 am,,REGISTRATION | WORKSHOPS | ADD-ON EVENT,,,
2026,,Consortia Registration,"Wednesday, April 29",6:30 am,9:00 am,,REGISTRATION | CONSORTIA | ADD-ON EVENT,,,
2026,,Morning Preconference Workshops,"Wednesday, April 29",8:00 am,12:00 pm,,WORKSHOPS | ADD-ON EVENT,,,
2026,,General Conference Registration,"Wednesday, April 29",9:00 am,8:00 pm,,REGISTRATION,,,
2026,,Consortia,"Wednesday, April 29",9:00 am,5:00 pm,,CONSORTIA | ADD-ON EVENT,,,
2026,,Networking for Introverts,"Wednesday, April 29",12:00 pm,7:00 pm,Pre-Function Foyer,EVENTS & RECEPTIONS,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5289469/?widget=primary
2026,,Afternoon Preconference Workshops,"Wednesday, April 29",1:00 pm,5:00 pm,,WORKSHOPS | ADD-ON EVENT,,,
2026,,Research Community Forums,"Wednesday, April 29",1:00 pm,5:30 pm,,RESEARCH COMMUNITY FORUMS | ADD-ON EVENT,,,
2026,,Diversity Inclusion Tour,"Wednesday, April 29",4:00 pm,5:00 pm,Registration Desk,EVENTS & RECEPTIONS,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146837/?widget=primary
2026,,Newcomer Reception,"Wednesday, April 29",5:30 pm,6:30 pm,R6,EVENTS & RECEPTIONS,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5241557/?widget=primary
2026,,Opening Plenary,"Wednesday, April 29",7:00 pm,8:00 pm,Great Hall,EVENTS & RECEPTIONS,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146759/?widget=primary
2026,,Welcome Reception and Top Poster Display,"Wednesday, April 29",8:00 pm,9:30 pm,,EVENTS & RECEPTIONS | POSTER,,,
2026,,Continental Breakfast,"Thursday, April 30",7:00 am,8:00 am,Pre-Function Foyer,"BREAKFAST, LUNCH & BREAKS",,,
2026,,Fellows Breakfast (By Invitation Only),"Thursday, April 30",7:00 am,8:00 am,Great Hall B,"EVENTS & RECEPTIONS | BREAKFAST, LUNCH & BREAKS | BY INVITATION ONLY",Mindy Shoss,", University of Central Florida",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146825/?widget=primary
2026,,General Conference Registration,"Thursday, April 30",7:00 am,5:00 pm,,REGISTRATION,,,
2026,949,Seeing and Being Seen: Expanding Award Access for Women and Racial Minorities (Session ID 949),"Thursday, April 30",8:00 am,8:50 am,202,"DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY","Ny Mia Tran | Angela Grotto | Julie Olson-Buchanan | Kisha Jones | Mateo Cruz, Ph.D. (he/him)",", Salem State University | , Montclair State University | , California State University, Fresno | , Florida International University - College of Business | , Bentley University",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145657/?widget=primary
2026,891,Scientist–Practitioner Perspectives on Impactful Org Belonging Research (Session ID 891),"Thursday, April 30",8:00 am,8:50 am,206,ORGANIZATIONAL PROCESSES/DEVELOPMENT/CULTURE,Robert Bullock | Elizabeth Conjar | Laura Brooks Dueland | Natalie Perez | Salvatore Leone,", T-Mobile | , Amazon | , Inclusion Analytics, LLC",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145658/?widget=primary
2026,1271,Moving Beyond Benchmarks: The Role of I-O Psychology Expertise in Total Rewards (Session ID 1271),"Thursday, April 30",8:00 am,8:50 am,207,ORGANIZATIONAL PROCESSES/DEVELOPMENT/CULTURE,George Montgomery | Alec Munc | Nathan Bjornberg | Timothy Willis | Taylor Scotese,", Willis Towers Watson | , Eli Lilly | , Meta | , Humana | , WTW",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145659/?widget=primary
2026,1087,“The Past Is Prologue:” Studying Old Leadership Lessons Using New Behavioral Methods (Session ID 1087),"Thursday, April 30",8:00 am,8:50 am,214,LEADERSHIP/LEADER DEVELOPMENT,Marcus Dickson | Andrew Loignon | Nissa Gongora | Richard Guzzo,", Wayne State University | , Center for Creative Leadership | , Workforce Sciences Institute",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145660/?widget=primary
2026,577,Blending Kirkpatrick and Psychometrics to Evaluate Leadership Development Impact (Session ID 577),"Thursday, April 30",8:00 am,8:50 am,217,LEADERSHIP/LEADER DEVELOPMENT,Stewart Desson,", Lumina Learning",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145661/?widget=primary
2026,649,Future-Proofing Selection Tools for Diverse Minds and Emerging AI (Session ID 649),"Thursday, April 30",8:00 am,8:50 am,223,SELECTION/ASSESSMENT/INDIVIDUAL DIFFERENCES,Ana Garcia | Viena Cao,", Cappfinity",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145662/?widget=primary
2026,1432,Community of Interest: Bricolage in I-O: How to Do More With Less in a Changing World (Session ID 1432),"Thursday, April 30",8:00 am,8:50 am,228,ORGANIZATIONAL PROCESSES/DEVELOPMENT/CULTURE | SPECIAL SESSION,Jonathan Kochert | Matthew Christensen | Roza Jankovic | Kyle Benbow,", U.S. Army Research Institute for Behavioral and Social Sciences | , Deloitte Consulting | , Culture Amp | , Army Research Institute",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145663/?widget=primary
2026,,Rethinking Generational Differences in the Age of AI (Session ID1086),"Thursday, April 30",8:00 am,8:50 am,203/204,"DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY",Cody Cox | Brian Ruggeberg | David Costanza | Haleema Sadia | Joel Nadler,", St. Mary's University | , Spencer Stuart | , University of Virginia | , Northwell Health | , AOA Consultants and University of Indiana",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145664/?widget=primary
2026,1465,The 2026 SIOP Machine Learning Competition (Session Id 1465),"Thursday, April 30",8:00 am,8:50 am,208/209/210,TECHNOLOGY/ARTIFICIAL INTELLIGENCE | SPECIAL SESSION,Yizhen Egyn Zhu | Ivan Hernandez | Isaac Thompson,", Amazon | , Virginia Tech",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145665/?widget=primary
2026,,"Skills, Career and Leadership Development: Perspectives and Approaches (Session ID1014)","Thursday, April 30",8:00 am,8:50 am,211/212/213,LEADERSHIP/LEADER DEVELOPMENT,"Lauren Jeffery-Smith | Tiffany Shortridge, Ph.D. | Heather Ureksoy | Tyler Lewis",", Saville Assessment | , WTW | , Verizon | , Northside Hospital",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145666/?widget=primary
2026,,"Creative Micropractices: Cultivating Reflection, Connection, and Workplace Well-Being (Session ID1069)","Thursday, April 30",8:00 am,8:50 am,215/216,"MOTIVATION, ATTITUDES, AND EMOTIONS",Patricia Friberg,", Patricia Friberg Coaching",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145667/?widget=primary
2026,688,On the Spectrum All My (Work) Life: Autistic Experiences Before and After Hire (Session ID 688),"Thursday, April 30",8:00 am,8:50 am,218/219,"DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY | CONTENT AREA THEME TRACK",Cassidy Gaddie | Hudson Barthes | Mark Burnard | Jeffrey Olenick | Maira Ezerins | Sara Gutierrez | Tim Vogus,", American Psychological Association | , University of Georgia | , Marriott International | , The University of Georgia | , University of Central Florida | , SHL | , Vanderbilt University Owen Graduate School of Management",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145668/?widget=primary
2026,1057,The New Psychological Contract: From Loyalty to Learnability (Session ID 1057),"Thursday, April 30",8:00 am,8:50 am,220/221/222,ORGANIZATIONAL PROCESSES/DEVELOPMENT/CULTURE | CONTENT AREA THEME TRACK,Jennifer Cullen | Kristen Williamson | Talya Bauer | Jordan Hartley | Caroline Deck,", Visa | , Spencer Stuart | , Portland State University | , Everpure | , Dell Technologies",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145669/?widget=primary
2026,,Setting a Cut Score Without Bleeding: Methods for Practitioners (Session ID1073),"Thursday, April 30",8:00 am,8:50 am,225/226,SELECTION/ASSESSMENT/INDIVIDUAL DIFFERENCES,Allie Wehling | Ashlie Plants | Kama Dodge | Morgan Tillery | Alexander Stemer,", Cisco | , Merck | , HackerRank | , AT&T | , Amazon",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145670/?widget=primary
2026,1227,Where Did All of the SIOP Training Sessions Go? Is T and D Still Important? (Session ID 1227),"Thursday, April 30",8:00 am,8:50 am,B2-1,TRAINING/COACHING/MENTORING | CONTENT AREA THEME TRACK,"Jason Randall | Ricardo Brooks | George Alliger | Amanda Woods Herron | Margaret Beier | Dr. Jay H. Hardy, III | Traci Sitzmann",", Portland State University | , The Pennsylvania State University | , Consulting Work Psychologist | , The University of Texas MD Anderson Cancer Center | , Rice University | , Oregon State University | , University of Colorado Denver",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145671/?widget=primary
2026,259,Who’s Accountable in the Age of AI? Redefining Accountability and Leadership Identity (Session ID 259),"Thursday, April 30",8:00 am,8:50 am,B2-2,TECHNOLOGY/ARTIFICIAL INTELLIGENCE | CONTENT AREA THEME TRACK,Laura Pineault | Cintya Garcia Marquez | Katherine Gibbard | Rebecca Stern | Kyle Sandell,", McKinsey & Company | , Microsoft Viva | , SAP SuccessFactors | , Forward Progress | , BetterUp",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145672/?widget=primary
2026,,Leadership/Leader Development Posters,"Thursday, April 30",8:00 am,8:50 am,Exhibit Hall,POSTER | LEADERSHIP/LEADER DEVELOPMENT,,,
2026,578,Training AI Skills in the Classroom: Embedding AI Skills in Graduate I-O Training (Session ID 578),"Thursday, April 30",8:00 am,8:50 am,R1,I-O PSYCHOLOGIST CAREER DEVELOPMENT/TEACHING,Pete Mclemore | Anna Godollei | Lacie Barber | Logan Watts | Mark Frame | Philseok Lee,", The University of Texas at Arlington | , Baruch College & The Graduate Center, City University of New York | , San Diego State University | , University of Texas at Arlington | , Middle Tennessee State University | , George Mason University",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145699/?widget=primary
2026,1316,Human-Centered Personas at Scale: Using LLMs and RAG to Build Personas Using Mixed Me (Session ID 1316),"Thursday, April 30",8:00 am,8:50 am,R2,RESEARCH METHODS/MEASUREMENT/STATISTICS,Alice Choe | Diana Wolfe | Chelsea Homann,", University of Toronto | Avanade | , Kyndryl | , Open to Work",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145700/?widget=primary
2026,539,"Pay Equity in Trump 2.0: Enforcement, Litigation, and Organizational Response (Session ID 539)","Thursday, April 30",8:00 am,8:50 am,R3,LEGAL/ETHICAL/CURRENT EVENTS/HUMANITARIAN/PRO-SOCIAL,Lisa Harpe | Quenton Wright | Scott Kelly,", DCI Consulting Group, Inc. | , Charles River Associates | , Ogletree",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145701/?widget=primary
2026,1313,Selling I-O Without Selling Out: A Vital Skill for All Practitioners (Session ID 1313),"Thursday, April 30",8:00 am,8:50 am,R4,I-O PSYCHOLOGIST CAREER DEVELOPMENT/TEACHING,Dr. William Shepherd | Dr. Emilee B. Tison | Justin Hess | Kim Macdonald | Ryan O'Leary | Ben Porr,", Elevation Leadership, LLC | , Meta | , Capital One | , Tru-Stamp (in Stealth Mode) | , PDRI | , Harver",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145702/?widget=primary
2026,,Interdisciplinary Collaboration Guided by a Case Study and Applied Exercise (Session ID1034),"Thursday, April 30",8:00 am,8:50 am,R5,I-O PSYCHOLOGIST CAREER DEVELOPMENT/TEACHING,Cristina Banks | Haley Cobb | Rebecca Brossoit | Ryszard Koziel,", University of California, Berkeley | , Louisiana State University | , Rice University | , Saint Louis University School of Medicine",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145703/?widget=primary
2026,989,Decoding AI: Amplifier of Belonging or Architect of Inequity? (Session ID 989),"Thursday, April 30",8:00 am,8:50 am,R6,TECHNOLOGY/ARTIFICIAL INTELLIGENCE,C. Malik Boykin | Christine Smith | Stephanie Tavarez | Taiwo Togun,", Brown University | , The Culture Backbeat | , University of Hartford | , SeqHub AI Academy",/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5145704/?widget=primary
