conference_year,session_id,display_session_id,title,date,date_label,start_time,end_time,location,tracks,speakers,session_format,adds,likes,comments,source
2025,4487832,,Registration Networking,2025-04-03,2025-04-03,10:00 AM,2:00 PM,602,Registration | Events & Receptions,,,156,2,0,2025 Whova export workbook
2025,4347348,265.0,AI and I-O Psychology: Current Questions on the Science and Practice of Selection - (Session ID 265),2025-04-03,2025-04-03,10:30 AM,11:20 AM,505,Technology,Mehran Bahmani | Silvia Bonaccio | Emily Campion | Manal Chakra | Jeffrey Labrador | Eden-Raye Lukacik | Piers Steel | Jane Wu,Panel,422,21,1,2025 Whova export workbook
2025,4347336,874.0,Are Large Language Models Ready to Be Used in Hiring and Selection? - (Session ID 874),2025-04-03,2025-04-03,10:30 AM,11:20 AM,501/502,Testing/Assessment,Nick Koenig | Richard Landers | Sean Noble,Debate,570,25,1,2025 Whova export workbook
2025,4347343,1654.0,Decolonizing Research: Indigenous Methodologies in I-O Psychology - (Session ID 1654),2025-04-03,2025-04-03,10:30 AM,11:20 AM,405/406,Inclusion/Diversity,Alicia Brozny | Katelynn Carter-Rogers | Melanie Grier | Adam Murry,panel,100,13,2,2025 Whova export workbook
2025,4347337,1557.0,"Employee Resilience in Selection, Training, and Organizational Development Programs - (Session ID 1557)",2025-04-03,2025-04-03,10:30 AM,11:20 AM,605,Job Attitudes/Engagement,Alison Carr | Magda Du Preez | Dr. Aimee K. Gardner | Charmane Harrison | Charmaine Swanevelder | Allison Bachmann | Maya Garza,IGNITE,322,29,3,2025 Whova export workbook
2025,4347389,1578.0,Empowering the Future Workforce: Informal Learning in a Tech-Based World - (Session ID 1578),2025-04-03,2025-04-03,10:30 AM,11:20 AM,207,Testing/Assessment,Ricardo Brooks | Meghan Davenport | Julian Decius | Destiny Hemsey | Sibley Lyndgaard | Jason Randall | Makai Ruffin | Stephanie Zajac,Symposium,158,13,0,2025 Whova export workbook
2025,4347335,995.0,"Engage, Influence, Succeed: Presenting to Non-I-Os - (Session ID 995)",2025-04-03,2025-04-03,10:30 AM,11:20 AM,607,Teaching I-O Psychology/Student Affiliate Issues/Professional Development,Krystina Moustakis | Ian Rios | John Zager,Alternative Session,287,32,0,2025 Whova export workbook
2025,4347388,1163.0,Exploring the Drivers of Candidate Satisfaction in Selection and Development - (Session ID 1163),2025-04-03,2025-04-03,10:30 AM,11:20 AM,302/303,Testing/Assessment,Sebastian Clifton | Julia Schäke | Donald Scott | Marie Wendel | Brian Leavy | Dr Chhavi Mittal Goyal,Symposium,160,17,0,2025 Whova export workbook
2025,4347330,932.0,From Initiative to Impact: Catalyzing Action for Women’s Leadership Advancement - (Session ID 932),2025-04-03,2025-04-03,10:30 AM,11:20 AM,407,Careers/Mentoring/Socialization/Onboarding/Retirement,Jacklyn Scymcyk | Winny Shen | Jessica Zalewski,Alternative Session Type,142,17,0,2025 Whova export workbook
2025,4347390,875.0,From Taboo to Hot Topics: Cutting Edge Research on Women’s Work-Related Experiences - (Session ID 875),2025-04-03,2025-04-03,10:30 AM,11:20 AM,205,Occupational Health/Safety/Stress & Strain/Aging,David Arena | Mallory Decker | Keaton Fletcher | Skylar Oney | Claire Smith,Symposium,195,16,0,2025 Whova export workbook
2025,4347386,306.0,Harnessing Humor in Teams: Its Power and Potential Downsides - (Session ID 306),2025-04-03,2025-04-03,10:30 AM,11:20 AM,705/707,Groups/Teams,Kenneth Goh | Eden King | Dejun Tony Kong | Hwayeon Myeong | Randy Lee,Symposium,204,18,0,2025 Whova export workbook
2025,4347342,901.0,Inclusive Leadership in Action: Innovation and Insights for the Modern Workplace - (Session ID 901),2025-04-03,2025-04-03,10:30 AM,11:20 AM,403/404,Inclusion/Diversity,Mekayla Castro | Angela Howard | Laurel Mikalouski | Reggie Romain | Caitlynn Sendra | Tara Van Bommel,Panel,233,19,2,2025 Whova export workbook
2025,4347347,513.0,Innovative Teaching Techniques for Industrial-Organizational Graduate Programs - (Session ID 513),2025-04-03,2025-04-03,10:30 AM,11:20 AM,201,Teaching I-O Psychology/Student Affiliate Issues/Professional Development,Kristie Campana | Sharon Glazer | Andi Lassiter | Jenna McChesney | Steven Toaddy,Panel,94,11,0,2025 Whova export workbook
2025,4347332,1667.0,Invited: Address by Distinguished Scientific Contributions Award Winner Dr. R. Cropanzano - (Session ID 1667),2025-04-03,2025-04-03,10:30 AM,11:20 AM,701,Job Attitudes/Engagement,Russell Cropanzano,Alternative Presentation,50,5,0,2025 Whova export workbook
2025,4348261,1670.0,Invited: Award - Winning I-O Science - (Session ID 1670),2025-04-03,2025-04-03,10:30 AM,11:20 AM,709/711,Measurement/Statistical Techniques,Louis Hickman | Paul Sackett | Serena Wee,,74,4,0,2025 Whova export workbook
2025,4347331,1678.0,Invited: COI - Test-Taker Agency - (Session ID 1678),2025-04-03,2025-04-03,10:30 AM,11:20 AM,702/704/706,Inclusion/Diversity,Emily Gallegos | Michelle Martin-Raugh | Katrisha Smith | Juveria Syed,Community of Interest,27,3,0,2025 Whova export workbook
2025,4347346,1685.0,Invited: CULT-ure: The Similarities Between Cults and Organizations - (Session ID 1685),2025-04-03,2025-04-03,10:30 AM,11:20 AM,703,Job Attitudes/Engagement,Adam Smith | Nikita Mikhailov | Dominic Fedele | Nicole Voss,Panel Discussion,372,41,3,2025 Whova export workbook
