conference_year,session_id,display_session_id,title,date,date_label,start_time,end_time,start_ts,end_ts,location,tracks,track_ids,programs,speakers,speaker_affiliations,speaker_titles,speaker_labels,description,description_html,session_format,whova_type,sponsors,tags,detail_href
2026,5146756,,Preconference Workshop Registration,2026-04-29,"Wednesday, April 29",06:30,09:00,2026-04-29 06:30:00,2026-04-29 09:00:00,,Registration | Workshops | Add-On Event,888918 | 888919 | 888920,,,,,,**Preregistration is required to attend the preconference workshops.,<p>**Preregistration is required to attend the preconference workshops.</p>,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146756/?widget=primary
2026,5146757,,Consortia Registration,2026-04-29,"Wednesday, April 29",06:30,09:00,2026-04-29 06:30:00,2026-04-29 09:00:00,,Registration | Consortia | Add-On Event,888918 | 888921 | 888920,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146757/?widget=primary
2026,5146766,,Morning Preconference Workshops,2026-04-29,"Wednesday, April 29",08:00,12:00,2026-04-29 08:00:00,2026-04-29 12:00:00,,Workshops | Add-On Event,888919 | 888920,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146766/?widget=primary
2026,5146758,,General Conference Registration,2026-04-29,"Wednesday, April 29",09:00,20:00,2026-04-29 09:00:00,2026-04-29 20:00:00,,Registration,888918,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146758/?widget=primary
2026,5146761,,Consortia,2026-04-29,"Wednesday, April 29",09:00,17:00,2026-04-29 09:00:00,2026-04-29 17:00:00,,Consortia | Add-On Event,888921 | 888920,,,,,,**Pre-registration & add-on registration fee is required to attend the Consortia.,**Pre-registration &amp; add-on registration fee is required to attend the Consortia.,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146761/?widget=primary
2026,5289469,,Networking for Introverts,2026-04-29,"Wednesday, April 29",12:00,19:00,2026-04-29 12:00:00,2026-04-29 19:00:00,Pre-Function Foyer,Events & Receptions,888922,,,,,,"Join themed breakout rooms designed around shared interests, professional backgrounds, and conversation topics that help spark meaningful connections. Whether you’re a first-time attendee or a conference regular, this relaxed session is a fun way to start building your network early.","<p><span style=""font-size: 13.5pt; font-family: Arial, sans-serif; color: rgb(101, 102, 105); background: white;"" data-olk-copy-source=""MessageBody"">Join themed breakout rooms designed around shared interests, professional backgrounds, and conversation topics that help spark meaningful connections. Whether you&rsquo;re a first-time attendee or a conference regular, this relaxed session is a fun way to start building your network early.</span></p>",,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5289469/?widget=primary
2026,5146777,,Afternoon Preconference Workshops,2026-04-29,"Wednesday, April 29",13:00,17:00,2026-04-29 13:00:00,2026-04-29 17:00:00,,Workshops | Add-On Event,888919 | 888920,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146777/?widget=primary
2026,5146818,,Research Community Forums,2026-04-29,"Wednesday, April 29",13:00,17:30,2026-04-29 13:00:00,2026-04-29 17:30:00,,Research Community Forums | Add-On Event,888924 | 888920,,,,,,**Preregistration is required to attend the Research Community Forums.,**Preregistration is required to attend the Research Community Forums.,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146818/?widget=primary
2026,5146837,,Diversity Inclusion Tour,2026-04-29,"Wednesday, April 29",16:00,17:00,2026-04-29 16:00:00,2026-04-29 17:00:00,Registration Desk,Events & Receptions,888922,,,,,,"Join our Accessibility Tour to navigate the conference venue with ease. Discover key locations including mothering rooms, gender-neutral restrooms, elevator access points, and a quiet room for sensory or prayer needs—ensuring a comfortable, inclusive experience for all attendees.","<p><span style=""font-family: 'Segoe UI';"">Join our Accessibility Tour to navigate the conference venue with ease. Discover key locations including mothering rooms, gender-neutral restrooms, elevator access points, and a quiet room for sensory or prayer needs&mdash;ensuring a comfortable, inclusive experience for all attendees.</span></p>",,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146837/?widget=primary
2026,5241557,,Newcomer Reception,2026-04-29,"Wednesday, April 29",17:30,18:30,2026-04-29 17:30:00,2026-04-29 18:30:00,R6,Events & Receptions,888922,,,,,,"This reception is for those attending their first SIOP Annual Conference to meet with others and get some tips on how to have an enriching first conference experience Hosted by the Ambassador Program, program participants who RSVP will be provided light refreshments and appetizers on a first-come, first-served basis.","<p><span style=""direction: ltr; font-family: Aptos, Arial, Helvetica, sans-serif; font-size: 12pt; color: rgb(0, 0, 0);"" data-olk-copy-source=""MessageBody"">This reception is for those attending their first SIOP Annual Conference to meet with others and get some tips on how to have an enriching first conference experience Hosted by the Ambassador Program, program participants who RSVP will be provided light refreshments and appetizers on a first-come, first-served basis.&nbsp;</span></p>",,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5241557/?widget=primary
2026,5146759,,Opening Plenary,2026-04-29,"Wednesday, April 29",19:00,20:00,2026-04-29 19:00:00,2026-04-29 20:00:00,Great Hall,Events & Receptions,888922,,,,,,"Kick off the conference at the in-person Opening Plenary featuring Scott Tannenbaum’s Presidential Address. The session will also honor SIOP’s Distinguished Award recipients and introduce the newest cohort of SIOP Fellows, celebrating their outstanding contributions to the science and practice of industrial–organizational psychology.","<p><span style=""font-size: 11pt;"" data-olk-copy-source=""MessageBody"">Kick off the conference at the in-person Opening Plenary featuring Scott Tannenbaum&rsquo;s Presidential Address. The session will also honor SIOP&rsquo;s Distinguished Award recipients and introduce the newest cohort of SIOP Fellows, celebrating their outstanding contributions to the science and practice of industrial&ndash;organizational psychology.</span></p>",,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146759/?widget=primary
2026,5146760,,Welcome Reception and Top Poster Display,2026-04-29,"Wednesday, April 29",20:00,21:30,2026-04-29 20:00:00,2026-04-29 21:30:00,,Events & Receptions | Poster,888922 | 888909,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146760/?widget=primary
2026,5146824,,Continental Breakfast,2026-04-30,"Thursday, April 30",07:00,08:00,2026-04-30 07:00:00,2026-04-30 08:00:00,Pre-Function Foyer,"Breakfast, Lunch & Breaks",888925,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146824/?widget=primary
2026,5146825,,Fellows Breakfast (By Invitation Only),2026-04-30,"Thursday, April 30",07:00,08:00,2026-04-30 07:00:00,2026-04-30 08:00:00,Great Hall B,"Events & Receptions | Breakfast, Lunch & Breaks | By Invitation Only",888922 | 888925 | 888926,,Mindy Shoss,University of Central Florida,,Speaker,"Join us for an exclusive, invite-only Fellows Breakfast honoring one of the most distinguished groups within SIOP. This special gathering celebrates our newest Fellows while recognizing the contributions of this esteemed community. Enjoy a morning of meaningful conversation, connection, and engagement with fellow leaders and SIOP members in an intimate and welcoming setting.","<p><span data-olk-copy-source=""MessageBody"">Join us for an exclusive, invite-only Fellows Breakfast honoring one of the most distinguished groups within SIOP. This special gathering celebrates our newest Fellows while recognizing the contributions of this esteemed community. Enjoy a morning of meaningful conversation, connection, and engagement with fellow leaders and SIOP members in an intimate and welcoming setting.</span></p>",,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146825/?widget=primary
2026,5146826,,General Conference Registration,2026-04-30,"Thursday, April 30",07:00,17:00,2026-04-30 07:00:00,2026-04-30 17:00:00,,Registration,888918,,,,,,,,,1,,,/embedded/session/txIFuC91zxfXmk1Kefw1Z-3npWvIIX%40kh469Fy-hO5k%3D/5146826/?widget=primary
